ID,Nombre,P_comestible,Energia_kcal,Agua_g,Alcohol_g,Proteinas_g,HC_g,Almidon_g,Azucares_sencillos_g,Azucares_libres_g,Fibra_g,Grasa_total_g,AGS_g,AGM_g,AGP_g,Colesterol_mg,VitA_ug,Retinol_ug,Carotenoides_ug,VitD_ug,VitE_mg,VitK_ug,VitB1_mg,VitB2_mg,Niacina_mg,VitB6_mg,Folato_ug,VitB12_ug,VitC_mg,Biotina_ug,Pantotenico_mg,Calcio_mg,Fosforo_mg,Magnesio_mg,Hierro_mg,Sodio_mg,Cinc_mg,Iodo_ug,Manganeso_mg,Potasio_mg,Selenio_ug,Cobre_mg
030101,Acedera,1.0,32.9,91.2,0.0,2.0,3.2,,,0.0,2.9,0.7,,,,,200.0,0.0,1200.0,0.0,,,,,,,,,,,,,,,,,,,,,,
030102,Acelga,0.88,29.8,92.2,0.0,1.9,4.5,3.5,1.0,0.0,1.2,0.2,0.03,0.04,0.07,0.0,227.0,0.0,1360.0,0.0,0.03,200.0,,,,,,,,,,,,,,,,,,,,
030103,Ajo,0.79,119.0,70.0,0.0,4.3,24.3,21.8,2.2,0.0,1.2,0.23,0.05,0.03,0.1,0.0,0.0,0.0,5.0,0.0,0.011,1.4,,,,,,,,,,,,,,,,,,,,
030104,Alcachofa,0.48,43.9,83.8,0.0,2.4,2.9,0.0,2.9,0.0,10.8,0.12,0.028,0.004,0.05,0.0,7.8,0.0,47.0,0.0,0.19,14.0,,,,,,,,,,,,,,,,,,,,
030105,Apio,0.8,19.4,94.7,0.0,1.2,2.5,0.0,2.5,0.0,1.4,0.2,0.053,0.04,0.099,0.0,8.3,0.0,50.0,0.0,0.2,12.0,,,,,,,,,,,,,,,,,,,,
030106,Berenjena,0.85,21.4,93.7,0.0,1.3,2.4,0.19,2.2,0.0,2.5,0.18,0.034,0.016,0.076,0.0,8.4,0.0,50.6,0.0,0.03,3.5,,,,,,,,,,,,,,,,,,,,
030107,Berro,0.62,20.1,94.6,0.0,1.6,2.0,0.0,2.0,0.0,1.5,0.3,0.081,0.024,0.11,0.0,987.0,0.0,5919.0,0.0,1.5,542.0,,,,,,,,,,,,,,,,,,,,
030108,Borraja,0.8,25.9,94.4,0.0,1.8,3.1,,,0.0,0.0,0.7,0.17,0.21,0.11,0.0,210.0,0.0,35.0,13.0,,,,,,,,,,,,,,,,,,,,,,
030109,Brécol,0.61,33.0,90.6,0.0,3.6,2.7,0.0,2.7,0.0,3.0,0.2,0.031,0.014,0.095,0.0,71.1,0.0,427.0,0.0,0.62,154.0,,,,,,,,,,,,,,,,,,,,
030110,Brotes de bambú fresco,1.0,38.3,89.7,0.0,2.6,5.2,2.2,3.0,0.0,2.2,0.3,0.069,0.007,0.13,0.0,1.0,0.0,12.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
030111,Calabacín,0.88,23.3,94.0,0.0,1.9,2.0,0.08,1.9,0.0,1.6,0.5,0.1,0.1,0.1,0.0,47.8,0.0,287.0,0.0,0.06,4.3,,,,,,,,,,,,,,,,,,,,
030112,Calabaza,0.67,28.4,92.0,0.0,1.1,4.6,0.7,3.9,0.0,2.2,0.13,0.068,0.017,0.007,0.0,128.0,0.0,766.0,0.0,1.1,1.1,,,,,,,,,,,,,,,,,,,,
030113,Canónigos,0.57,16.6,95.6,0.0,1.8,0.7,,,0.0,1.5,0.4,,,,0.0,443.0,0.0,2655.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
030114,Cardo,0.6,16.9,94.9,0.0,0.8,2.2,0.3,1.9,0.0,2.0,0.1,0.011,0.018,0.041,0.0,0.0,0.0,0.0,0.0,0.9,12.0,,,,,,,,,,,,,,,,,,,,
030115,Cebolla,0.91,31.9,91.5,0.0,1.2,5.3,0.0,5.3,0.0,1.8,0.25,0.094,0.0,0.11,0.0,0.17,0.0,1.0,0.0,0.45,0.7,,,,,,,,,,,,,,,,,,,,
030116,Chile rojo,1.0,37.0,90.3,0.0,1.0,6.4,1.8,4.6,0.0,1.9,0.4,0.1,0.0,0.2,0.0,95.3,0.0,572.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,
030117,Chile verde,1.0,20.1,94.4,0.0,0.8,2.6,0.93,1.7,0.0,1.9,0.3,0.1,0.0,0.2,0.0,37.0,0.0,222.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,
030118,Chirivía,1.0,70.1,81.7,0.0,1.8,11.1,5.6,5.4,0.0,4.3,1.1,0.2,0.5,0.2,0.0,5.0,0.0,30.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
030119,Col,0.77,30.2,90.6,0.0,1.4,4.2,0.03,4.1,0.0,3.0,0.2,0.038,0.0041,0.11,0.0,12.0,0.0,69.0,,1.7,70.0,,,,,,,,,,,,,,,,,,,,
030120,Col de Bruselas,0.78,42.7,87.5,0.0,4.4,3.3,0.49,2.8,0.0,4.4,0.34,0.047,0.007,0.24,0.0,12.8,0.0,77.0,0.0,0.56,236.0,,,,,,,,,,,,,,,,,,,,
030121,Col rizada,0.85,43.7,88.1,0.0,4.3,2.5,0.0,2.5,0.0,4.2,0.9,0.11,0.017,0.49,0.0,867.0,0.0,5200.0,0.0,1.7,817.0,,,,,,,,,,,,,,,,,,,,
030122,Coliflor,0.8,27.5,92.0,0.0,2.4,2.4,0.29,2.1,0.0,2.9,0.28,0.042,0.006,0.14,0.0,0.33,0.0,2.0,0.0,0.21,57.0,,,,,,,,,,,,,,,,,,,,
030123,Endivia,0.83,23.6,93.7,0.0,1.1,3.6,0.0,3.6,0.0,1.3,0.24,0.04,0.02,0.13,0.0,251.0,0.0,1506.0,0.1,1.0,231.0,,,,,,,,,,,,,,,,,,,,
030124,Escarola,0.79,17.4,94.6,0.0,1.6,1.0,0.0,1.0,0.0,2.6,0.2,0.0,0.0,0.1,0.0,94.0,0.0,,0.0,0.6,200.0,,,,,,,,,,,,,,,,,,,,
030125,Esparrago verde,0.75,21.2,94.2,0.0,2.3,2.0,0.0,2.0,0.0,1.3,0.16,0.032,0.003,0.076,0.0,54.8,0.0,329.0,0.0,2.0,40.0,,,,,,,,,,,,,,,,,,,,
030126,Espinaca,0.81,20.7,93.9,0.0,2.6,0.61,0.14,0.47,0.0,2.6,0.3,0.03,0.015,0.16,0.0,542.0,0.0,3254.0,0.0,1.4,307.0,,,,,,,,,,,,,,,,,,,,
030127,Grelo,0.81,20.8,93.1,0.0,2.7,0.1,0.0,0.1,0.0,3.9,0.2,0.05,0.04,0.1,0.0,579.0,0.0,,0.0,2.0,307.0,,,,,,,,,,,,,,,,,,,,
030128,Guisante verde,0.37,90.7,76.0,0.0,6.9,11.3,10.1,1.2,0.0,4.9,0.9,0.1,0.1,0.5,0.0,60.5,0.0,363.0,0.0,0.23,29.0,,,,,,,,,,,,,,,,,,,,
030129,Haba fresca,0.4,50.4,85.1,0.0,5.4,4.2,3.8,0.4,0.0,5.1,0.2,0.03,0.04,0.09,0.0,18.0,0.0,,0.0,0.46,43.0,,,,,,,,,,,,,,,,,,,,
030130,Judía verde,0.91,36.4,90.4,0.0,2.4,4.2,2.0,2.2,0.0,2.4,0.58,0.07,0.06,0.23,0.0,30.6,0.0,184.0,0.0,0.28,43.0,,,,,,,,,,,,,,,,,,,,
030131,Lechuga,0.74,19.6,95.1,0.0,1.4,1.4,0.036,1.4,0.0,1.5,0.6,0.12,0.0062,0.37,0.0,29.2,0.0,175.0,0.0,0.6,113.0,,,,,,,,,,,,,,,,,,,,
030132,Lombarda,0.81,26.6,92.3,0.0,1.5,3.5,0.072,3.5,0.0,2.5,0.18,0.036,0.006,0.098,0.0,2.5,0.0,15.0,0.0,1.7,25.0,,,,,,,,,,,,,,,,,,,,
030133,Nopal,0.96,23.6,93.1,0.0,1.3,3.3,2.1,1.2,0.0,2.2,0.09,0.016,0.018,0.05,0.0,45.7,0.0,274.0,0.0,0.0,5.3,,,,,,,,,,,,,,,,,,,,
030134,Pepino,0.77,13.3,96.6,0.0,0.63,1.9,0.08,1.8,0.0,0.7,0.2,0.069,0.008,0.088,0.0,28.2,0.0,169.0,0.0,0.39,13.0,,,,,,,,,,,,,,,,,,,,
030135,Pimiento rojo,0.83,33.1,92.2,0.0,1.3,4.2,0.0,4.2,0.0,1.5,0.9,0.3,0.0,0.3,0.0,539.0,0.0,3236.0,0.0,0.8,17.0,,,,,,,,,,,,,,,,,,,,
030136,Pimiento verde,0.84,19.7,95.2,0.0,0.63,1.6,0.07,1.5,0.0,1.8,0.8,0.3,0.1,0.3,0.0,32.8,0.0,197.0,0.0,0.87,11.0,,,,,,,,,,,,,,,,,,,,
030137,Puerro,0.86,29.2,92.0,0.0,2.2,3.3,0.12,3.1,0.0,2.3,0.29,0.078,0.013,0.18,0.0,123.0,0.0,739.0,0.0,0.53,47.0,,,,,,,,,,,,,,,,,,,,
030138,Repollo,0.77,32.1,91.4,0.0,1.7,4.1,0.09,4.0,0.0,2.4,0.45,0.1,0.047,0.3,0.0,64.2,0.0,385.0,0.0,0.2,70.0,,,,,,,,,,,,,,,,,,,,
030139,Rúcula,1.0,34.3,91.7,0.0,2.6,3.7,1.6,2.1,0.0,1.6,0.66,0.086,0.049,0.32,0.0,596.0,0.0,3575.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,
030140,Tomate,0.94,22.2,94.0,0.0,0.88,3.5,0.1,3.4,0.0,1.4,0.21,0.037,0.025,0.1,0.0,217.0,0.0,1302.0,0.0,0.89,5.7,,,,,,,,,,,,,,,,,,,,
030141,"Tomate, Cherry",1.0,33.0,92.0,0.0,0.8,5.0,0.03,3.0,0.0,1.3,0.8,0.018,0.019,0.053,0.0,132.0,0.0,792.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,
030201,Alcachofa congelada,1.0,37.7,89.1,0.0,2.6,3.9,0.9,3.0,0.0,3.9,0.43,0.099,0.012,0.18,0.0,8.0,0.0,48.0,0.0,0.19,14.0,,,,,,,,,,,,,,,,,,,,
030202,Espinaca congelada,1.0,32.4,91.4,0.0,3.1,1.2,0.36,0.87,0.0,3.1,1.0,0.3,0.1,0.4,0.0,716.0,0.0,4298.0,0.0,1.6,377.0,,,,,,,,,,,,,,,,,,,,
030203,Guisante congelado,1.0,74.0,79.9,0.0,6.0,9.5,4.1,5.4,0.0,4.2,0.4,0.15,0.13,0.05,0.0,67.5,0.0,405.0,0.0,0.18,23.5,,,,,,,,,,,,,,,,,,,,
030204,Judía verde congelada,1.0,36.5,90.4,0.0,1.9,3.6,1.5,2.1,0.0,3.2,0.9,0.3,0.1,0.4,0.0,19.7,0.0,118.0,0.0,0.12,47.0,,,,,,,,,,,,,,,,,,,,
030205,Menestra congelada,1.0,63.9,82.7,0.0,3.3,9.5,4.3,5.2,0.0,4.0,0.52,0.098,0.031,0.24,0.0,420.0,0.0,2520.0,0.0,0.3,30.0,,,,,,,,,,,,,,,,,,,,
030301,Acelga en conserva,1.0,15.3,94.5,0.0,1.8,1.2,0.2,1.0,0.0,1.3,0.08,0.012,0.016,0.028,0.0,612.0,0.0,3675.0,0.0,1.9,327.0,,,,,,,,,,,,,,,,,,,,
030302,Alcachofa en conserva,1.0,36.6,86.3,0.0,2.9,1.2,0.0,1.2,0.0,9.4,0.16,0.037,0.005,0.068,0.0,1.3,0.0,8.0,0.0,0.2,14.0,,,,,,,,,,,,,,,,,,,,
030303,Apio en conserva,1.0,32.3,91.3,0.0,0.5,5.9,4.4,1.5,0.0,2.0,0.3,0.09,0.09,0.09,0.0,8.3,0.0,50.0,0.0,0.2,15.5,,,,,,,,,,,,,,,,,,,,
030304,Brotes de bambú en conserva,1.0,26.0,94.3,0.0,1.7,3.2,1.3,1.9,0.0,1.4,0.4,0.092,0.009,0.18,0.0,1.0,0.0,8.0,0.0,0.63,,,,,,,,,,,,,,,,,,,,,
030305,Cardo en conserva,1.0,15.8,95.0,0.0,0.76,2.1,1.8,0.3,0.0,1.7,0.11,0.012,0.02,0.044,0.0,6.0,0.0,36.0,,0.9,12.0,,,,,,,,,,,,,,,,,,,,
030306,Chucrut en conserva,1.0,22.5,93.7,0.0,1.5,2.4,1.1,1.3,0.0,2.1,0.3,0.026,0.01,0.051,0.0,3.0,0.0,18.0,0.0,0.14,,,,,,,,,,,,,,,,,,,,,
030307,Esparrago de lata,1.0,18.8,95.1,0.0,1.9,1.5,0.0,1.5,0.0,1.2,0.31,0.071,0.01,0.14,0.0,46.3,0.0,278.0,0.0,0.4,40.0,,,,,,,,,,,,,,,,,,,,
030308,Espinaca en conserva,1.0,27.8,92.9,0.0,3.1,2.3,1.8,0.5,0.0,1.3,0.4,0.1,0.0,0.1,0.0,13.7,0.0,82.3,0.0,16.7,290.0,,,,,,,,,,,,,,,,,,,,
030309,Guisante en conserva,1.0,88.9,76.4,0.0,5.3,12.4,9.9,2.5,0.0,5.0,0.9,0.2,0.1,0.4,0.0,75.0,0.0,450.0,0.0,0.22,26.0,,,,,,,,,,,,,,,,,,,,
030310,Judía verde en conserva,1.0,15.1,95.6,0.0,1.2,1.6,0.53,1.1,0.0,1.5,0.1,0.023,0.004,0.052,0.0,33.3,0.0,200.0,0.0,0.05,47.0,,,,,,,,,,,,,,,,,,,,
030311,Menestra en conserva,1.0,48.3,87.5,0.0,2.0,8.5,4.9,3.6,0.0,1.7,0.32,0.1,0.016,0.2,0.0,,0.0,,0.0,0.5,12.2,,,,,,,,,,,,,,,,,,,,
030312,Palmito en conserva,1.0,43.2,89.2,0.0,2.8,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.9,0.0,,,,,,,,,,,,,,,,,,,,
030313,Pimiento del piquillo en conserva,1.0,32.2,91.7,0.0,1.2,5.2,0.1,5.1,0.0,1.5,0.4,0.1,0.013,0.2,0.0,630.0,0.0,3780.0,0.0,0.9,5.1,,,,,,,,,,,,,,,,,,,,
030314,Pimiento morrón en conserva,1.0,29.4,91.7,0.0,1.2,4.5,1.6,2.9,0.0,1.5,0.4,0.1,0.013,0.2,0.0,630.0,0.0,3780.0,0.0,0.9,5.1,,,,,,,,,,,,,,,,,,,,
030315,Pimiento rojo asado en conserva,1.0,33.0,91.7,0.0,1.2,5.4,1.6,3.8,0.0,1.5,0.4,0.1,0.013,0.2,0.0,630.0,0.0,3780.0,0.0,0.9,5.1,,,,,,,,,,,,,,,,,,,,
030316,Puerro en conserva,1.0,38.1,90.0,0.0,1.2,5.4,4.1,1.3,0.0,2.7,0.7,0.1,0.003,0.4,0.0,95.8,0.0,575.0,0.0,0.78,47.0,,,,,,,,,,,,,,,,,,,,
030318,Tomate frito en conserva,1.0,78.3,83.9,0.0,0.82,9.9,5.4,4.5,3.6,1.8,3.5,0.49,2.5,0.44,0.0,68.5,16.0,315.0,0.27,0.58,3.2,,,,,,,,,,,,,,,,,,,,
030319,Tomate pelado enlatado,1.0,30.6,92.1,0.0,1.1,6.0,1.2,4.8,0.0,0.66,0.19,0.04,0.021,0.08,0.0,106.0,0.0,636.0,0.0,1.2,3.2,,,,,,,,,,,,,,,,,,,,
030320,Tomate triturado,1.0,31.1,91.4,0.0,0.8,5.8,1.1,4.7,3.8,1.9,0.1,0.0,,,0.0,207.0,0.0,1242.0,0.0,0.83,3.2,,,,,,,,,,,,,,,,,,,,
030401,Zumo de aloe vera,1.0,15.0,96.2,0.0,0.0,3.8,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
030402,Zumo de tomate natural,1.0,16.7,95.6,0.0,0.76,3.0,0.1,2.8,0.0,0.6,0.05,0.0066,0.0075,0.02,0.0,70.5,0.0,423.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
030403,Zumo de zanahoria natural,1.0,24.3,93.9,0.0,0.63,4.8,0.0,4.8,0.0,0.62,0.15,0.027,0.007,0.071,0.0,437.0,0.0,2622.0,0.0,0.56,15.0,,,,,,,,,,,,,,,,,,,,
030501,Boniato,0.84,114.0,70.5,0.0,1.6,24.1,19.5,4.6,0.0,3.1,0.6,0.23,0.04,0.2,0.0,1581.0,0.0,9488.0,0.0,4.6,1.8,,,,,,,,,,,,,,,,,,,,
030502,Fécula de patata,1.0,375.0,3.8,0.0,6.9,83.1,79.6,3.5,0.0,5.9,0.34,0.09,0.008,0.15,0.0,0.0,0.0,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,
030503,Harina de tapioca,1.0,382.0,4.6,0.0,0.5,94.3,94.3,0.0,0.0,0.4,0.2,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
030504,Nabo,0.75,31.8,90.6,0.0,1.0,4.7,0.69,4.0,0.0,3.5,0.22,0.052,0.015,0.088,0.0,12.0,0.0,72.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,
030505,Patata nueva,0.8,73.6,80.7,0.0,2.3,14.8,14.1,0.7,0.0,2.1,0.11,0.026,0.002,0.056,0.0,0.17,0.0,1.0,0.0,0.053,2.1,,,,,,,,,,,,,,,,,,,,
030506,Patata vieja,0.8,78.7,79.7,0.0,2.2,16.1,15.4,0.7,0.0,1.8,0.21,0.05,0.0,0.11,0.0,0.17,0.0,1.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,,
030507,Rábano,0.81,17.3,95.0,0.0,1.1,2.1,0.0,2.1,0.0,1.6,0.14,0.033,0.017,0.055,0.0,3.8,0.0,23.0,0.0,0.001,1.3,,,,,,,,,,,,,,,,,,,,
030508,Remolacha,0.8,46.1,87.3,0.0,1.6,8.4,0.0,8.4,0.0,2.6,0.1,0.018,0.0099,0.049,0.0,1.8,0.0,11.0,0.0,0.047,0.2,,,,,,,,,,,,,,,,,,,,
030509,Tapioca,1.0,345.0,13.9,0.0,0.58,84.9,84.9,0.0,0.0,0.4,0.2,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
030510,"Yuca, mandioca, casava",1.0,164.0,58.4,0.0,1.4,38.1,36.4,1.7,0.0,1.8,0.3,0.07,0.08,0.05,0.0,1.3,0.0,8.0,0.0,0.19,,,,,,,,,,,,,,,,,,,,,
030511,Zanahoria,0.87,39.8,89.1,0.0,1.3,6.9,0.0,6.9,0.0,2.6,0.2,0.039,0.0032,0.12,0.0,1455.0,0.0,8731.0,0.0,0.55,15.0,,,,,,,,,,,,,,,,,,,,
030601,Remolacha en conserva,1.0,39.1,88.3,0.0,2.3,6.4,0.8,5.6,0.0,1.7,0.1,0.0,0.0,0.09,0.0,4.5,0.0,27.0,0.0,0.047,0.2,,,,,,,,,,,,,,,,,,,,
030602,Zanahoria en conserva,1.0,26.8,92.3,0.0,0.8,4.2,0.4,3.7,0.0,2.5,0.2,0.036,0.01,0.093,0.0,484.0,0.0,2904.0,0.0,0.64,9.8,,,,,,,,,,,,,,,,,,,,
030701,Champiñón,0.8,34.0,92.1,0.0,4.3,0.54,0.0,0.54,0.0,1.9,1.2,0.2,0.06,0.71,0.0,0.0,0.0,0.0,0.0,0.13,14.0,,,,,,,,,,,,,,,,,,,,
030702,Níscalo,0.61,23.8,92.7,0.0,1.6,0.2,0.0,0.2,0.0,4.7,0.8,0.1,0.0,0.5,0.0,0.0,0.0,0.0,2.1,0.13,14.0,,,,,,,,,,,,,,,,,,,,
030703,Trufa cruda,1.0,126.0,61.0,0.0,9.0,13.0,,,0.0,16.5,0.5,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
030801,Champiñón en conserva,1.0,21.4,94.6,0.0,3.4,0.07,0.0,0.07,0.0,1.5,0.5,0.066,0.009,0.2,0.0,0.0,0.0,0.0,0.0,0.12,14.0,,,,,,,,,,,,,,,,,,,,
030802,"Hongos desecados, shiitake",1.0,344.0,9.5,0.0,9.6,68.4,66.2,2.2,0.0,11.5,0.99,0.23,0.32,0.15,0.0,0.0,0.0,0.0,3.9,0.0,,,,,,,,,,,,,,,,,,,,,
030901,Alga agar cruda,1.0,29.0,92.6,0.0,0.54,6.4,6.1,0.28,0.0,0.5,0.03,0.006,0.003,0.01,0.0,0.0,0.0,0.0,0.0,0.87,2.3,,,,,,,,,,,,,,,,,,,,
030902,Alga agar desecada,1.0,336.0,8.7,0.0,6.2,73.2,70.2,3.0,0.0,7.7,0.3,0.061,0.027,0.1,0.0,0.0,0.0,0.0,0.0,5.0,24.4,,,,,,,,,,,,,,,,,,,,
030903,Alga espirulina desecada,1.0,391.0,4.0,0.0,58.2,20.3,16.9,3.1,0.0,3.6,7.7,2.7,0.68,2.1,0.0,57.0,0.0,342.0,0.0,5.0,25.5,,,,,,,,,,,,,,,,,,,,
030904,Alga Kelp cruda,1.0,47.6,87.4,0.0,1.7,8.3,7.7,0.6,0.0,1.3,0.56,0.25,0.098,0.047,0.0,11.7,0.0,70.0,0.0,0.87,66.0,,,,,,,,,,,,,,,,,,,,
030905,Alga Kelp desecada,1.0,246.0,12.3,0.0,7.9,49.7,0.0,49.7,0.0,5.3,0.6,0.2,0.1,0.042,0.0,73.3,0.0,440.0,0.0,0.87,,,,,,,,,,,,,,,,,,,,,
030906,Alga Laver cruda,1.0,45.5,85.0,0.0,5.8,4.8,4.3,0.49,0.0,0.3,0.28,0.061,0.025,0.11,0.0,520.0,0.0,3121.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
030907,Alga Laver desecada,1.0,225.0,8.7,0.0,30.7,0.0,0.0,0.0,0.0,44.4,1.5,0.33,0.13,0.59,0.0,2485.0,0.0,14910.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
030908,Alga musgo de Irlanda cruda,1.0,54.0,81.3,0.0,1.5,11.0,10.4,0.61,0.0,1.3,0.16,0.033,0.015,0.055,0.0,6.0,0.0,,0.0,0.87,66.9,,,,,,,,,,,,,,,,,,,,
030909,Alga Spirulina cruda,1.0,37.1,90.7,0.0,5.9,2.4,2.0,0.36,0.0,0.4,0.39,0.14,0.035,0.11,0.0,5.5,0.0,33.0,0.0,0.49,2.5,,,,,,,,,,,,,,,,,,,,
030910,Alga Wakame cruda,1.0,53.6,86.0,0.0,3.0,8.7,8.0,0.65,0.0,0.5,0.64,0.13,0.058,0.22,0.0,36.0,0.0,216.0,0.0,1.0,71.7,,,,,,,,,,,,,,,,,,,,
030911,Alga Wakame desecada,1.0,165.0,12.2,0.0,12.4,0.0,0.0,0.0,0.0,47.1,2.4,0.49,0.22,0.82,0.0,86.0,0.0,515.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
040101,Aguacate,0.71,233.0,67.9,0.0,1.9,0.4,0.0,0.4,0.0,6.3,23.5,1.9,15.5,1.9,0.0,19.3,0.0,116.0,0.0,1.3,19.0,,,,,,,,,,,,,,,,,,,,
040102,Albaricoque,0.92,41.4,88.9,0.0,0.88,8.5,0.0,8.5,0.0,1.5,0.1,0.01,0.04,0.02,0.0,26.0,0.0,156.0,0.0,0.5,3.3,,,,,,,,,,,,,,,,,,,,
040103,Arándano,0.99,42.1,87.8,0.0,0.63,6.1,0.0,6.1,0.0,4.9,0.6,0.0,0.0,0.0,0.0,34.0,0.0,204.0,0.0,1.9,12.0,,,,,,,,,,,,,,,,,,,,
040104,Caqui,0.87,74.2,80.5,0.0,0.63,16.0,0.0,16.0,0.0,2.5,0.3,0.049,0.094,0.062,0.0,267.0,0.0,1600.0,0.0,0.59,2.6,,,,,,,,,,,,,,,,,,,,
040105,Carambola,1.0,31.0,91.0,0.0,0.5,6.3,0.3,6.0,0.0,1.7,0.0,0.0,0.0,0.0,,31.0,0.0,188.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,
040106,Cereza,0.83,62.1,84.2,0.0,0.88,13.3,0.0,13.3,0.0,1.3,0.31,0.07,0.084,0.093,0.0,2.8,0.0,16.5,0.0,0.13,1.5,,,,,,,,,,,,,,,,,,,,
040107,Chirimoya,0.6,72.7,81.6,0.0,1.3,14.1,0.0,14.1,0.0,2.4,0.7,0.2,0.1,0.3,0.0,9.8,0.0,58.8,0.0,0.01,,,,,,,,,,,,,,,,,,,,,
040108,Ciruela,0.94,48.1,87.4,0.0,0.63,10.2,0.0,10.2,0.0,1.6,0.17,0.022,0.052,0.078,0.0,23.2,0.0,139.0,0.0,0.86,8.3,,,,,,,,,,,,,,,,,,,,
040109,Coco fresco,0.7,384.0,45.1,0.0,4.6,4.8,0.0,4.8,0.0,9.0,36.5,31.8,2.2,0.68,0.0,0.0,0.0,0.0,0.0,0.73,0.2,,,,,,,,,,,,,,,,,,,,
040110,Frambuesa,1.0,36.9,88.8,0.0,1.3,4.9,0.0,4.9,0.0,4.7,0.3,0.01,0.03,0.2,0.0,3.8,0.0,22.5,0.0,0.91,10.0,,,,,,,,,,,,,,,,,,,,
040111,Fresa y fresón,0.95,32.2,91.6,0.0,0.81,5.5,0.0,5.5,0.0,1.7,0.4,0.032,0.063,0.24,0.0,3.0,0.0,18.0,0.0,0.23,5.5,,,,,,,,,,,,,,,,,,,,
040112,Granada,0.56,77.2,80.4,0.0,0.69,16.1,0.0,16.1,0.0,2.3,0.6,0.076,0.09,0.13,0.0,6.7,0.0,40.0,0.0,0.55,4.6,,,,,,,,,,,,,,,,,,,,
040113,Grosella negra,0.98,45.2,85.6,0.0,1.3,6.1,0.0,6.1,0.0,6.8,0.22,0.026,0.025,0.11,0.0,13.5,0.0,81.0,0.0,1.9,30.0,,,,,,,,,,,,,,,,,,,,
040114,Grosella roja,0.99,32.4,90.4,0.0,1.1,4.8,0.0,4.8,0.0,3.5,0.2,0.039,0.029,0.073,0.0,4.2,0.0,25.0,0.0,0.72,11.0,,,,,,,,,,,,,,,,,,,,
040115,Guayaba,0.89,41.6,87.6,0.0,0.88,5.8,0.0,5.8,0.0,5.2,0.5,0.14,0.045,0.21,0.0,122.0,0.0,733.0,0.0,1.1,2.6,,,,,,,,,,,,,,,,,,,,
040116,Higo,0.81,65.3,83.3,0.0,1.3,12.9,0.0,12.9,0.0,2.0,0.5,0.089,0.098,0.21,0.0,8.0,0.0,48.0,0.0,0.89,4.7,,,,,,,,,,,,,,,,,,,,
040117,Kiwi,0.86,51.8,87.0,0.0,1.0,9.1,0.0,9.1,0.0,2.1,0.8,0.1,0.1,0.4,0.0,6.2,0.0,37.3,0.0,0.93,3.3,,,,,,,,,,,,,,,,,,,,
040118,Lima,0.7,17.0,94.6,0.0,0.5,1.9,0.0,1.9,0.0,2.8,0.2,0.022,0.019,0.055,0.0,1.7,0.0,10.0,0.0,0.8,0.6,,,,,,,,,,,,,,,,,,,,
040119,Limón,0.64,27.7,91.2,0.0,0.69,3.2,0.0,3.2,0.0,4.7,0.3,0.039,0.011,0.089,0.0,0.57,0.0,3.4,0.0,0.8,0.2,,,,,,,,,,,,,,,,,,,,
040120,Litchi,0.62,76.7,80.4,0.0,0.9,16.8,0.0,16.8,0.0,1.6,0.3,0.068,0.082,0.094,0.0,0.0,0.0,0.0,0.0,0.1,0.4,,,,,,,,,,,,,,,,,,,,
040121,Mandarina,0.76,44.7,88.2,0.0,0.63,9.2,0.0,9.2,0.0,1.8,0.2,0.022,0.034,0.037,0.0,65.0,0.0,390.0,0.0,0.29,0.0,,,,,,,,,,,,,,,,,,,,
040122,Mango,0.66,61.2,84.4,0.0,0.63,12.8,0.3,12.5,0.0,1.7,0.45,0.1,0.18,0.076,0.0,207.0,0.0,1243.0,0.0,1.0,0.7,,,,,,,,,,,,,,,,,,,,
040123,Manzana,0.89,54.1,85.9,0.0,0.31,11.4,0.6,10.8,0.0,2.0,0.36,0.058,0.15,0.11,0.0,3.0,0.0,18.0,0.0,0.36,3.7,,,,,,,,,,,,,,,,,,,,
